RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020
United States,Country,,249893,251042,252333,253559,254410,255119,256223,258147,260667,263498,266536,269593
"New York, NY",Msa,NY,480342,481818,483234,484724,485533,486089,487304,489890,494391,499872,505894,511713
"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,679968,686088,693077,698219,696302,693391,695139,704346,715001,725003,732522,738882
"Chicago, IL",Msa,IL,242537,243146,243676,243803,243636,243606,244619,246285,249174,252034,254839,257067
"Dallas-Fort Worth, TX",Msa,TX,258642,259592,260856,261473,261889,262499,263558,265926,268538,271656,274052,276666
"Philadelphia, PA",Msa,PA,251091,252089,252591,253617,254428,255747,257366,259973,263129,266804,270319,273995
"Houston, TX",Msa,TX,221951,222179,222778,223808,224400,224811,225267,226303,228222,230377,232777,235022
"Washington, DC",Msa,DC,440179,441299,442631,444555,445632,447244,449901,453991,458700,463350,468228,472877
"Miami-Fort Lauderdale, FL",Msa,FL,304020,306090,308042,309688,310717,311555,312200,313575,315906,318676,321231,324285
"Atlanta, GA",Msa,GA,245544,247033,248102,249166,249700,250563,251933,254062,256774,259751,262878,266230
"Boston, MA",Msa,MA,496592,498676,501273,502735,503812,503558,505361,510414,517010,524275,530933,537782
"San Francisco, CA",Msa,CA,1131272,1139042,1149996,1151322,1141695,1131442,1132643,1148641,1161263,1172176,1180765,1187058
"Detroit, MI",Msa,MI,179696,180895,182886,184454,184772,183811,183484,184942,187586,190556,193485,196377
"Riverside, CA",Msa,CA,385590,387168,388645,391024,392349,393263,395559,400179,405866,411453,417341,423706
"Phoenix, AZ",Msa,AZ,283837,285907,288922,293026,295741,297476,299476,303881,309129,314405,319761,325891
"Seattle, WA",Msa,WA,532572,538557,544622,548993,549006,548472,550170,558173,567490,578203,587496,594449
"Minneapolis-St Paul, MN",Msa,MN,296564,298038,299253,300604,301415,301952,302778,304943,307972,311881,315665,319121
"San Diego, CA",Msa,CA,607416,610675,616356,620317,623254,623495,627096,633815,643981,655085,667238,677941
"St. Louis, MO",Msa,MO,183420,184353,184757,185321,185456,186163,187352,189292,191433,193571,195744,197789
"Tampa, FL",Msa,FL,227577,228931,230727,232404,233565,234748,236084,238683,241463,244670,248383,252332
"Baltimore, MD",Msa,MD,297440,297903,298736,299200,299799,300437,302173,304845,307942,311434,314950,318736
"Denver, CO",Msa,CO,449384,451565,453427,454933,456368,457394,458822,462007,466399,471723,477472,483513
"Pittsburgh, PA",Msa,PA,162979,163343,164097,164878,164900,164975,165865,167962,170475,172989,175370,177426
"Portland, OR",Msa,OR,423613,425423,428064,429107,430241,431390,433224,436615,441719,448095,455112,460452
"Charlotte, NC",Msa,NC,244914,246396,247404,248750,250026,251781,253762,256071,258755,261773,264410,267451
"Sacramento, CA",Msa,CA,433018,435835,439027,441752,441484,440052,441467,445995,453195,461114,468839,476197
"San Antonio, TX",Msa,TX,236520,236567,237353,237472,237764,237991,239090,240664,242987,245616,248041,250151
"Orlando, FL",Msa,FL,257895,259121,260698,262535,264371,265354,265988,266987,268377,270391,272919,275393
"Cincinnati, OH",Msa,OH,188826,189645,190825,192012,193651,195190,196604,198344,200241,202858,205861,208706
"Cleveland, OH",Msa,OH,158434,159512,160357,161257,161978,162816,163862,165943,168311,170711,172643,174299
"Kansas City, MO",Msa,MO,208513,209894,211377,212490,213214,213950,215290,217477,219943,222663,225241,227977
"Las Vegas, NV",Msa,NV,291994,293137,295487,298068,298367,296609,295695,297900,302241,305785,309044,312425
"Columbus, OH",Msa,OH,215139,216942,218300,219507,220602,221676,222733,224364,226410,228798,231798,235076
"Indianapolis, IN",Msa,IN,187777,188984,190194,191201,192036,193062,194745,196751,199083,201218,203683,206380
"San Jose, CA",Msa,CA,1244666,1260324,1281030,1286380,1268662,1252003,1247297,1273077,1293472,1311507,1324928,1336525
"Austin, TX",Msa,TX,340922,342701,345047,347694,350344,351941,353977,357367,362765,368482,375206,381134
"Virginia Beach, VA",Msa,VA,247221,248235,249532,250620,251881,253051,254101,255559,257384,259954,262540,265201
"Nashville, TN",Msa,TN,288609,290186,292167,293926,295959,297750,299294,300615,302301,304673,307371,310652
"Providence, RI",Msa,RI,321111,322313,324023,325855,327343,328170,329809,333016,337945,343147,348018,353299
"Milwaukee, WI",Msa,WI,203012,204932,206568,208147,209369,210246,211567,213554,215812,218310,221122,224345
"Jacksonville, FL",Msa,FL,233415,235160,237237,238621,239431,239656,240078,241496,243586,246323,249017,251699
