RegionName,RegionType,StateName,1/31/2022,2/28/2022,3/31/2022
United States,Country,,327102,332304,337560
"New York, NY",Msa,NY,579787,584419,590839
"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,881946,894332,911892
"Chicago, IL",Msa,IL,294778,297350,300651
"Dallas-Fort Worth, TX",Msa,TX,353819,362366,370501
"Philadelphia, PA",Msa,PA,316685,319229,322475
"Houston, TX",Msa,TX,283736,288041,293387
"Washington, DC",Msa,DC,533004,538067,543698
"Miami-Fort Lauderdale, FL",Msa,FL,404701,412347,422639
"Atlanta, GA",Msa,GA,346710,353517,360679
"Boston, MA",Msa,MA,620201,627388,635813
"San Francisco, CA",Msa,CA,1410216,1433224,1461773
"Detroit, MI",Msa,MI,228305,231126,234015
"Riverside, CA",Msa,CA,544460,555884,568579
"Phoenix, AZ",Msa,AZ,435357,443974,453110
"Seattle, WA",Msa,WA,740553,753688,771631
"Minneapolis-St Paul, MN",Msa,MN,362221,365680,369107
"San Diego, CA",Msa,CA,858817,879278,902655
"St. Louis, MO",Msa,MO,228516,231806,235436
"Tampa, FL",Msa,FL,335042,342654,352962
"Baltimore, MD",Msa,MD,358858,362153,366129
"Denver, CO",Msa,CO,602423,613820,627072
"Pittsburgh, PA",Msa,PA,204242,207052,209200
"Portland, OR",Msa,OR,550518,558988,569065
"Charlotte, NC",Msa,NC,346441,354002,362509
"Sacramento, CA",Msa,CA,586580,595680,605595
"San Antonio, TX",Msa,TX,310651,315876,322243
"Orlando, FL",Msa,FL,347359,354900,364611
"Cincinnati, OH",Msa,OH,244643,247695,250986
"Cleveland, OH",Msa,OH,203761,206127,208407
"Kansas City, MO",Msa,MO,269666,274486,278453
"Las Vegas, NV",Msa,NV,405923,416075,427786
"Columbus, OH",Msa,OH,276979,280835,284813
"Indianapolis, IN",Msa,IN,250927,255552,259032
"San Jose, CA",Msa,CA,1595388,1634505,1674427
"Austin, TX",Msa,TX,563908,577858,589627
"Virginia Beach, VA",Msa,VA,307949,311023,314133
"Nashville, TN",Msa,TN,404753,415156,423105
"Providence, RI",Msa,RI,424424,428463,432307
"Milwaukee, WI",Msa,WI,255210,257871,261710
"Jacksonville, FL",Msa,FL,328827,336447,345220
"Memphis, TN",Msa,TN,212778,216685,220487
"Oklahoma City, OK",Msa,OK,201876,204665,207622
"Louisville-Jefferson County, KY",Msa,KY,228139,230625,232861
"Hartford, CT",Msa,CT,302337,305018,308417
"Richmond, VA",Msa,VA,311747,315242,317518
"New Orleans, LA",Msa,LA,256392,259131,260769
"Buffalo, NY",Msa,NY,229020,231385,235940
"Raleigh, NC",Msa,NC,410526,421156,433065
"Birmingham, AL",Msa,AL,225200,228241,230816
"Salt Lake City, UT",Msa,UT,563868,578510,589622
"Rochester, NY",Msa,NY,201675,204292,207099
"Grand Rapids, MI",Msa,MI,287241,291814,296757
"Tucson, AZ",Msa,AZ,315947,320891,328121
"Urban Honolulu, HI",Msa,HI,884276,895351,906411
"Tulsa, OK",Msa,OK,194305,197164,199955
"Fresno, CA",Msa,CA,369591,375275,380969
"Worcester, MA",Msa,MA,393905,400380,405748
"Stamford, CT",Msa,CT,541611,546857,552485
"Albuquerque, NM",Msa,NM,289631,294393,299453
"Albany, NY",Msa,NY,257048,258229,260642
"Omaha, NE",Msa,NE,257372,261282,264243
"New Haven, CT",Msa,CT,311168,317139,322425
"Bakersfield, CA",Msa,CA,316160,320780,326907
"Knoxville, TN",Msa,TN,281488,288675,293835
"Greenville, SC",Msa,SC,272082,277839,283466
"Ventura, CA",Msa,CA,817651,835487,854367
"Allentown, PA",Msa,PA,283185,286675,290577
"El Paso, TX",Msa,TX,180059,182042,184204
"Baton Rouge, LA",Msa,LA,220703,223672,227085
"Dayton, OH",Msa,OH,178521,180837,183958
"McAllen, TX",Msa,TX,155334,157375,159785
"Columbia, SC",Msa,SC,213052,217057,221383
"Greensboro, NC",Msa,NC,210298,213991,217743
"Akron, OH",Msa,OH,193398,195570,197839
"North Port-Sarasota-Bradenton, FL",Msa,FL,421556,435445,451167
"Little Rock, AR",Msa,AR,186169,188042,189477
"Stockton, CA",Msa,CA,532763,537813,551249
"Charleston, SC",Msa,SC,376415,384783,393485
"Syracuse, NY",Msa,NY,182667,184952,188030
"Colorado Springs, CO",Msa,CO,465788,472484,478106
"Winston-Salem, NC",Msa,NC,217335,221837,225880
"Wichita, KS",Msa,KS,181091,182909,184751
"Springfield, MA",Msa,MA,300720,303926,307609
"Fort Myers, FL",Msa,FL,358585,372032,386694
"Boise City, ID",Msa,ID,508338,513975,515926
"Toledo, OH",Msa,OH,157449,159401,161164
"Madison, WI",Msa,WI,355232,361191,366855
"Lakeland, FL",Msa,FL,276403,282658,290560
"Ogden, UT",Msa,UT,501717,513046,524514
"Daytona Beach, FL",Msa,FL,314848,322572,330260
"Des Moines, IA",Msa,IA,251909,254977,257047
"Jackson, MS",Msa,MS,175345,177926,180565
"Youngstown, OH",Msa,OH,137075,138988,140657
"Augusta, GA",Msa,GA,205481,208928,211662
"Scranton, PA",Msa,PA,163189,164801,167097
"Harrisburg, PA",Msa,PA,242362,245722,248512
"Melbourne, FL",Msa,FL,320368,326216,333878
"Chattanooga, TN",Msa,TN,246897,252361,257916
"Spokane, WA",Msa,WA,416771,425804,434526
"Provo, UT",Msa,UT,551546,561579,569027
"Lancaster, PA",Msa,PA,302180,305569,308699
"Modesto, CA",Msa,CA,443614,451288,459213
"Portland, ME",Msa,ME,444039,450017,456093
"Durham, NC",Msa,NC,385164,395538,406005
"Santa Rosa, CA",Msa,CA,775834,782226,798696
"Lexington, KY",Msa,KY,248944,253276,257454
"Lafayette, LA",Msa,LA,184320,186719,188168
"Lansing, MI",Msa,MI,207426,209913,211940
"Fayetteville, AR",Msa,AR,281724,286194,290833
"Pensacola, FL",Msa,FL,267962,272853,277841
"Visalia, CA",Msa,CA,316980,320608,324143
"Shreveport, LA",Msa,LA,131376,131924,132503
"Springfield, MO",Msa,MO,218930,222132,225528
"York, PA",Msa,PA,245843,248819,253561
"Corpus Christi, TX",Msa,TX,206873,209096,211756
"Flint, MI",Msa,MI,166455,168271,170989
"Reno, NV",Msa,NV,550350,558916,568310
"Asheville, NC",Msa,NC,374775,380816,386191
"Port St. Lucie, FL",Msa,FL,353804,362495,371155
"Santa Maria-Santa Barbara, CA",Msa,CA,896689,910621,924917
"Huntsville, AL",Msa,AL,279599,285625,290591
"Fort Wayne, IN",Msa,IN,197993,199968,201795
"Salinas, CA",Msa,CA,805011,811483,818363
"Vallejo, CA",Msa,CA,601243,609563,616719
"Mobile, AL",Msa,AL,171127,173417,175753
"Reading, PA",Msa,PA,247873,251812,255714
"Brownsville, TX",Msa,TX,152595,155591,158518
"Killeen, TX",Msa,TX,230205,235601,241127
"Canton, OH",Msa,OH,175503,177441,179371
"Beaumont, TX",Msa,TX,153141,155170,156591
"Manchester, NH",Msa,NH,420255,426901,434441
"Salem, OR",Msa,OR,422274,426711,431793
"Anchorage, AK",Msa,AK,323669,328293,331565
"Davenport, IL",Msa,IL,153672,154665,155551
"Peoria, IL",Msa,IL,134133,135259,136421
"Myrtle Beach, SC",Msa,SC,301395,307025,311911
"Montgomery, AL",Msa,AL,171137,173607,176420
"Salisbury, MD",Msa,DE,352649,357876,364136
"Gulfport, MS",Msa,MS,181701,184729,187076
"Tallahassee, FL",Msa,FL,233261,237714,241395
"Trenton, NJ",Msa,NJ,330370,334097,337874
"Fayetteville, NC",Msa,NC,173995,176416,179106
"Hickory, NC",Msa,NC,209687,212437,214377
"Huntington, WV",Msa,WV,121582,123970,124685
"Eugene, OR",Msa,OR,434631,440867,447862
"Rockford, IL",Msa,IL,157559,161150,163745
"Savannah, GA",Msa,GA,266312,272105,276246
"Ann Arbor, MI",Msa,MI,352844,357860,364440
"Ocala, FL",Msa,FL,232043,239062,246405
"Kalamazoo, MI",Msa,MI,223890,226950,229541
"Naples, FL",Msa,FL,522597,540731,563263
"South Bend, IN",Msa,IN,186156,188891,191946
"Spartanburg, SC",Msa,SC,215821,220081,224558
"Evansville, IN",Msa,IN,182457,184525,186874
"Kingsport, TN",Msa,TN,170675,174415,176066
"Roanoke, VA",Msa,VA,231398,234616,236838
"Green Bay, WI",Msa,WI,235598,238289,242038
"Lincoln, NE",Msa,NE,259562,262248,265327
"Fort Collins, CO",Msa,CO,542724,551695,560382
"Utica, NY",Msa,NY,174688,177171,180419
"Columbus, GA",Msa,GA,159530,161773,163372
"Boulder, CO",Msa,CO,760473,773759,789243
"Lubbock, TX",Msa,TX,190318,193807,197077
"Erie, PA",Msa,PA,167070,168701,171027
"Fort Smith, AR",Msa,AR,137169,139744,141433
"Duluth, MN",Msa,MN,211440,213420,215799
"Atlantic City, NJ",Msa,NJ,283078,288280,294253
"New London, CT",Msa,CT,321177,325047,332005
"San Luis Obispo, CA",Msa,CA,825409,837916,853523
"Gainesville, FL",Msa,FL,259208,263796,268381
"Santa Cruz, CA",Msa,CA,1190825,1225176,1271098
"Clarksville, TN",Msa,TN,247107,252162,255597
"Cedar Rapids, IA",Msa,IA,193905,195178,197037
"Merced, CA",Msa,CA,397844,404665,413370
"Wilmington, NC",Msa,NC,353537,360729,369708
"Kennewick, WA",Msa,WA,407522,414608,421263
"Greeley, CO",Msa,CO,497318,506785,518236
"Waco, TX",Msa,TX,232021,236400,241993
"Olympia, WA",Msa,WA,502710,508799,513230
"Amarillo, TX",Msa,TX,187301,190263,193315
"Binghamton, NY",Msa,NY,153968,155552,156471
"Hagerstown, WV",Msa,MD,265451,269136,271928
"Bremerton, WA",Msa,WA,552387,563867,572512
"Laredo, TX",Msa,TX,181425,183713,184454
"Lynchburg, VA",Msa,VA,229922,233456,237982
"Yakima, WA",Msa,WA,321286,325704,329488
"Crestview-Fort Walton Beach-Destin, FL",Msa,FL,399221,407079,415833
"Topeka, KS",Msa,KS,167486,168825,170021
"Macon-Bibb County, GA",Msa,GA,142686,146254,148808
"Champaign-Urbana, IL",Msa,IL,174432,175471,177093
"Tuscaloosa, AL",Msa,AL,203493,206775,208919
"College Station, TX",Msa,TX,251881,256181,260252
"Sioux Falls, SD",Msa,SD,286477,291701,295598
"Charleston, WV",Msa,WV,118631,121144,121969
"Appleton, WI",Msa,WI,243914,246970,251389
"Chico, CA",Msa,CA,398396,403698,409965
"Charlottesville, VA",Msa,VA,380670,385947,389672
"Claremont, NH",Msa,NH,311159,317519,320600
"Barnstable Town, MA",Msa,MA,638463,644189,654247
"Longview, TX",Msa,TX,183209,186843,189198
"Burlington, VT",Msa,VT,397797,404315,410377
"Prescott, AZ",Msa,AZ,475524,483013,492387
"Springfield, IL",Msa,IL,153671,154710,
"Tyler, TX",Msa,TX,226282,230415,234891
"Las Cruces, NM",Msa,NM,233384,235035,238190
"Fargo, ND",Msa,ND,266617,268878,271420
"Houma, LA",Msa,LA,173575,175612,176196
"Rochester, MN",Msa,MN,295888,299108,301815
"Florence, SC",Msa,SC,153701,156240,158505
"Medford, OR",Msa,OR,427733,431069,434744
"Lafayette-West Lafayette, IN",Msa,IN,223170,227112,230323
"Bellingham, WA",Msa,WA,599680,611586,620938
"Lake Havasu City, AZ",Msa,AZ,356379,358518,361063
"Saginaw, MI",Msa,MI,136616,138349,140329
"Lake Charles, LA",Msa,LA,213808,219834,224083
"Johnson City, TN",Msa,TN,207445,213865,215144
"Elkhart, IN",Msa,IN,222008,226656,231775
"Yuma, AZ",Msa,AZ,243686,248037,252328
"Racine, WI",Msa,WI,213186,215908,216605
"Athens, GA",Msa,GA,285613,292902,297609
"Torrington, CT",Msa,CT,333217,335553,338155
"St. Cloud, MN",Msa,MN,275121,277303,281258
"Hilton Head Island, SC",Msa,SC,439773,450143,461411
"Bloomington, IL",Msa,IL,185418,188482,192454
"Hilo, HI",Msa,HI,532664,543616,556865
"Panama City, FL",Msa,FL,311201,318494,326698
"Kingston, NY",Msa,NY,357576,359318,362090
"Daphne, AL",Msa,AL,310432,317326,322977
"Gainesville, GA",Msa,GA,343971,352690,359622
"Warner Robins, GA",Msa,GA,181726,184636,187856
"Blacksburg, VA",Msa,VA,237665,241025,242169
"Jacksonville, NC",Msa,NC,216686,219853,223206
"Redding, CA",Msa,CA,371280,375192,377812
"Monroe, LA",Msa,LA,160449,162679,163517
"Joplin, MO",Msa,MO,164950,168152,171817
"El Centro, CA",Msa,CA,309239,314769,317899
"Terre Haute, IN",Msa,IN,117749,119023,120069
"Muskegon, MI",Msa,MI,201058,204382,207067
