CASENUMBER,CASECLASSIFICATION,TYPEOFBUSINESS,TYPEOFCOMPLAINT,CONSTRUCTIONREFERRAL,CITATIONISSUED,OPENDATE,CLOSEDATE,OUTCOME,ADDRESS,COUNCILDISTRICT,PARCELID,LOCATION
2020 156249-CC,COVID-19,Construction,Face-Covering,DSD Referral,,10/12/2020 12:00:00 AM,10/13/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,1601 S HEATHERWILDE BOULEVARD,7,0267210502,POINT (-97.65449737 30.43172676)
2021 014358-CC,COVID-19,Bar,Social Distancing,,,01/30/2021 12:00:00 AM,04/26/2022 12:00:00 AM,Legal Action-All Deficiencies Satisfied,76 RAINEY STREET - UNBARLIEVABLE,9,0203030617,POINT (-97.73901973 30.25891742)
2020 187559-CC,COVID-19,Residential,Eviction,,,12/11/2020 12:00:00 AM,12/16/2020 12:00:00 AM,COVID-19/Education Provided,4400 E OLTORF ST  1301,,,POINT (-88.448709 24.923983)
2020 190846-CC,COVID-19,Bar,Social Distancing,,,12/18/2020 12:00:00 AM,04/26/2022 12:00:00 AM,Legal Action-All Deficiencies Satisfied,88 RAINEY ST - THE PARLOR ROOM,9,0203030611,POINT (-97.7386722 30.25985374)
2020 189801-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/16/2020 12:00:00 AM,12/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,9601 N IH 35 SVRD NB,,,POINT (-88.448709 24.923983)
2021 014208-CC,COVID-19,Bar,Social Distancing,,,01/30/2021 12:00:00 AM,04/26/2022 12:00:00 AM,Legal Action-All Deficiencies Satisfied,208 W 4TH STREET - PÉCHÉ,9,0206011708,POINT (-97.74516923 30.26698475)
2021 070125-CC,COVID-19,Apartment Common Area,Face Covering Non-Compliance - Business,,,05/11/2021 12:00:00 AM,05/11/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,1800 E 4TH STREET UNIT 170,3,0204081401,POINT (-97.72396577 30.26019722)
2021 064486-CC,COVID-19,Residential,Eviction,,,04/30/2021 12:00:00 AM,05/11/2021 12:00:00 AM,COVID-19/Education Provided,9200 NORTH PLAZA,4,0239200804,POINT (-97.6858475 30.35460165)
2021 070210-CC,COVID-19,Residential,Eviction,,,05/11/2021 12:00:00 AM,05/11/2021 12:00:00 AM,COVID-19/Education Provided,1806 HARVEY STREET,1,0212130324,POINT (-97.70565301 30.28148895)
2021 069866-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,05/11/2021 12:00:00 AM,05/11/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,2620 LAKE AUSTIN BOULEVARD,10,0111070502,POINT (-97.7756371 30.28209214)
2020 190828-CC,COVID-19,Bar,Face-Covering,,,12/18/2020 12:00:00 AM,04/27/2022 12:00:00 AM,Legal Action-All Deficiencies Satisfied,601 RIO GRANDE ST AKA 620 W 6TH ST - PLAY ON WEST 6TH,9,0107000707,POINT (-97.74926907 30.27008948)
2021 068825-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,05/09/2021 12:00:00 AM,05/10/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,7513 N IH 35 SERVICE ROAD NB,4,0230160133,POINT (-97.70048129 30.33609088)
2021 063018-CC,COVID-19,Other (Describe in Comments),Face Covering,,,04/28/2021 12:00:00 AM,05/11/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,4600 MUELLER BOULEVARD UNIT 2028,9,0218130118,POINT (-97.70804799 30.29948235)
2020 059719-CC,COVID-19,Other,Social Distancing,,,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,3400 COMSOUTH DRIVE,2,0314100503,POINT (-97.72025889 30.21237679)
2021 007585-CC,COVID-19,Residential,Eviction,,,01/19/2021 12:00:00 AM,01/27/2021 12:00:00 AM,COVID-19/Education Provided,8800 N IH 35 SVRD SB,,,POINT (-88.448709 24.923983)
2020 055877-CC,COVID-19,Schools,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,5201 ROSS ROAD UNIT  1,,0331410114,POINT (-97.6126922 30.18051976)
2020 059541-CC,COVID-19,Construction,Social Distancing,Non-Referral,,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,3400 COMSOUTH DRIVE,2,0314100503,POINT (-97.72025889 30.21237679)
