Last_Updat,Age_Le,Age_01,Age_10,Age_20,Age_30,Age_40,Age_50,Age_60,Age_70,Age_80,Age_Unk,Sex_F,Sex_M,Sex_Unk,AIAN,Race_Asian,Race_Black,Race_White,Race_Other,Race_Unk,Eth_Non_Hi,Eth_Hispan,Eth_Unk,FID,Record_Status,Weekend
2020/05/14 21:00:00+00,2,0,1,31,58,68,98,85,64,59,0,0.4528,0.5472,0,0.021,0.0279,0.0987,0.6738,0.1652,0.0322,0.4635,0.485,0.0515,1,Past,"June 22, 2020"
2020/05/26 21:00:00+00,0.52,0.17,0.35,6.57,12.28,15.22,20.59,18.34,13.84,12.11,0,0.4706,0.5294,0,0.0018,0.0233,0.102,0.6816,0.1914,0,0.4656,0.5344,0,2,Past,"June 29, 2020"
2020/06/02 21:00:00+00,0.5,0.3,0.5,7.5,13,14.8,20.8,17.3,13.3,12.1,0,46.8,53.2,0,0.2,2,10.7,68.9,18.2,0,44.7,55.3,0,3,Past,"July 6, 2020"
2020/06/09 21:00:00+00,0.4,0.5,0.5,8.3,13.6,15.6,19.7,17.1,13.2,11.1,0,46.3,53.7,0,0.1,1.9,10.9,68.8,18.2,0,44.2,55.8,0,4,Past,"July 13, 2020"
2020/06/16 21:00:00+00,0.3,0.5,0.9,8.5,13.3,16,19.5,15.9,14,11.2,0,47.1,52.9,0,0.2,1.6,10.5,69.4,18.1,0,43.1,56.9,0,5,Past,"July 20, 2020"
2020/06/23 21:00:00+00,0.4,0.4,0.9,9.5,13.2,15,19.2,16.4,13.8,11.1,0,47.5,52.5,0,0.2,1.7,10,70.4,17.7,0,41.4,58.6,0,6,Past,"July 27, 2020"
2020/06/30 21:00:00+00,0.5,0.3,1,9.6,13.6,15.2,19.3,16.7,12.9,11.1,0,47.3,52.7,0,0.1,1.5,9.5,71.5,17.4,0,39.4,60.6,0,7,Past,7/5/2020
2020/07/07 21:00:00+00,0.4,0.3,1.1,9,12.7,15.1,20,16.8,13.2,11.4,0,48.4,51.6,0,0.2,1.4,9.8,70.3,18.2,0,40.2,59.8,0,8,Past,7/12/2020
2020/07/14 21:00:00+00,0.4,0.3,1.1,8.9,12.1,14.4,19.2,17.3,14.5,11.9,0,48.3,51.7,0,0.3,1.6,9.6,70.2,18.3,0,41.5,58.5,0,9,Past,7/19/2020
2020/07/21 21:00:00+00,0.4,0.2,1.4,8.5,11.5,14.4,18.9,16.8,15.1,12.7,0,48.5,51.5,0,0.3,1.5,10.1,69.8,18.3,0,42.3,57.7,0,10,Past,7/26/2020
2020/07/28 21:00:00+00,0.4,0.2,1.3,8.7,11.4,14,18.7,17,15.2,13,0,48.4,51.6,0,0.3,1.4,10.7,69.4,18.2,0,43.1,56.9,0,11,Past,8/2/2020
2020/08/04 21:00:00+00,0.4,0.3,1.5,8.7,11.2,13.9,19.2,17.1,15.1,12.6,0,48.3,51.7,0,0.3,1.5,10.8,69.4,18.1,0,43.4,56.6,0,12,Past,8/9/2020
2020/08/11 21:00:00+00,0.4,0.3,1.6,8.6,11,13.7,18.8,17.3,15.4,12.9,0,48.3,51.7,0,0.2,1.4,10.7,69.5,18.2,0,43.9,56.1,0,13,Past,8/16/2020
2020/08/25 21:00:00+00,0.4,0.3,1.8,8.8,10.9,13.5,18.5,17,16,12.9,0,48.7,51.3,0,0,1.4,10.6,69.1,18.6,0,44.1,55.9,0,14,Past,8/23/2020
2020/09/01 21:00:00+00,0.3,0.3,0.17,8.8,11,13.4,18.6,16.9,16,12.7,0,48.8,51.2,0,0.3,1.4,10.6,69.3,18.4,0,44.3,55.7,0,15,Past,8/30/2020
2020/09/08 21:00:00+00,0.4,0.3,1.9,8.8,11,13.3,18.4,16.9,16.2,12.7,0,48.9,51.1,0,0.3,1.4,10.8,69.1,18.5,0,44.7,55.3,0,17,Past,9/6/2020
2020/09/15 21:00:00+00,0.4,0.3,2,9.2,11.3,13.2,18.2,16.8,16,12.7,0,49.3,50.7,0,0.3,1.4,10.7,69.3,18.3,0,44.7,55.3,0,18,Past,9/13/2020
2020/09/22 21:00:00+00,0.4,0.3,2.1,9.3,11.3,13.2,18.2,16.7,16,12.5,0,49.5,50.5,0,0.3,1.4,10.8,69.3,18.2,0,44.9,55.1,0,19,Past,9/20/2020
2020/09/29 21:00:00+00,0.4,0.3,2.1,9.4,11.3,13.1,18.3,16.7,16,12.4,0,49.7,50.3,0,0.3,1.4,10.9,69.3,18.1,0,45.1,54.9,0,20,Past,9/27/2020
2020/10/06 21:00:00+00,0.4,0.3,2.1,9.5,11.3,13.1,18.2,16.8,15.9,12.4,0,49.9,50.1,0,0.3,1.4,10.8,69.5,18,0,45.3,54.7,0,21,Past,10/4/2020
2020/10/10 21:00:00+00,0.4,0.3,2.2,9.6,11.2,13.1,18.1,16.8,16,12.4,0,49.7,50.3,0,0.3,1.4,10.8,69.7,17.8,0,45.3,54.7,0,22,Past,10/11/2020
2020/10/20 21:00:00+00,0.3,0.3,2.2,9.6,11.1,13.1,18,16.8,16,12.5,0,49.6,50.4,0,0.3,1.4,10.8,69.8,17.7,0,45.6,54.4,0,25,Past,10/18/2020
2020/10/27 21:00:00+00,0.3,0.3,2.1,9.6,11,13.1,17.8,16.8,16.2,12.7,0,49.6,50.4,0,0.3,1.4,10.9,69.8,17.6,0,45.8,54.2,0,26,Past,10/25/2020
2020/11/03 22:00:00+00,0.3,0.3,2.1,9.7,11,13,17.8,16.9,16.2,12.6,0,49.5,50.5,0,0.3,1.4,11,69.9,17.5,0,46.2,53.8,0,28,Past,11/1/2020
2020/11/10 22:00:00+00,0.3,0.3,2.1,9.8,10.9,13,17.8,16.9,16.2,12.6,0,49.5,50.5,0,0.3,1.4,11.1,69.8,17.4,0,46.5,53.5,0,29,Past,11/8/2020
2020/11/17 22:00:00+00,0.3,0.3,2.1,9.7,10.8,13,17.8,17,16.4,12.5,0,49.6,50.4,0,0.3,1.4,11,70.1,17.2,0,46.9,53.1,0,32,Past,11/15/2020
2020/11/24 22:00:00+00,0.3,0.3,2.1,9.5,10.7,13,17.8,17.2,16.6,12.5,0,49.5,50.5,0,0.3,1.3,11,70,17.2,0,47.5,52.2,0,33,Past,11/22/2020
2020/12/01 22:00:00+00,0.3,0.3,2.1,9.4,10.6,12.8,17.8,17.3,16.7,12.6,0,49.3,50.7,0,0.3,1.4,11,70,17.1,0,48.2,51.8,0,34,Past,11/29/2020
2020/12/08 22:00:00+00,0.3,0.4,2.1,9.2,10.6,12.7,17.7,17.3,16.9,12.8,0,49.2,50.8,0,0.3,1.5,11.1,69.7,17.3,0,48.6,51.4,0,35,Past,12/06/2020
2020/12/15 22:00:00+00,0.3,0.4,2.1,9.1,10.5,12.4,17.6,17.6,17.2,12.9,0,49,51,0,0.3,1.5,11.3,69.9,16.9,0,49.4,50.6,0,36,Past,12/13/2020
2020/12/22 22:00:00+00,0.3,0.4,2,9,10.3,12.3,17.5,17.6,17.5,13.2,0,48.9,51.1,0,0.3,1.5,11.4,69.8,16.8,0,50.1,49.9,0,37,Past,12/20/2020
2020/12/29 22:00:00+00,0.3,0.4,2,8.8,10,12.3,17.4,17.7,17.5,13.7,0,48.8,51.2,0,0.3,1.5,11.5,70,16.6,0,51.4,48.6,0,38,Past,12/27/2020
2021/01/05 22:00:00+00,0.3,0.4,1.9,8.5,9.8,12,17.3,17.6,17.8,14.4,0,48.5,51.5,0,0.3,1.6,11.4,70.2,16.4,0,51.8,48.2,0,39,Past,1/3/2021
