DATE,TXSTHPI
1975-01-01,55.55
1975-04-01,58.51
1975-07-01,56.06
1975-10-01,59.36
1976-01-01,58.7
1976-04-01,63.51
1976-07-01,63.28
1976-10-01,63.05
1977-01-01,65.95
1977-04-01,71.56
1977-07-01,69.31
1977-10-01,73.4
1978-01-01,76.66
1978-04-01,78.89
1978-07-01,81.29
1978-10-01,85.52
1979-01-01,89.47
1979-04-01,92.76
1979-07-01,95.16
1979-10-01,96.99
1980-01-01,100.00
1980-04-01,104.45
1980-07-01,103.91
1980-10-01,105.65
1981-01-01,104.49
1981-04-01,111.13
1981-07-01,114.44
1981-10-01,112.34
1982-01-01,122.46
1982-04-01,119.12
1982-07-01,118.15
1982-10-01,120.96
1983-01-01,125.61
1983-04-01,125.86
1983-07-01,125.69
1983-10-01,126.18
1984-01-01,125.11
1984-04-01,126.23
1984-07-01,128.62
1984-10-01,128.05
1985-01-01,126.66
1985-04-01,127.75
1985-07-01,127.68
1985-10-01,126.45
1986-01-01,129.46
1986-04-01,131.51
1986-07-01,128.83
1986-10-01,126.51
1987-01-01,126.82
1987-04-01,123.07
1987-07-01,118.26
1987-10-01,114.64
1988-01-01,114.67
1988-04-01,116.62
1988-07-01,113.96
1988-10-01,113.1
1989-01-01,113.33
1989-04-01,114.33
1989-07-01,116.57
1989-10-01,116.3
1990-01-01,116.04
1990-04-01,116.92
1990-07-01,117.75
1990-10-01,116.86
1991-01-01,118.29
1991-04-01,119.51
1991-07-01,119.64
1991-10-01,121.04
1992-01-01,123.01
1992-04-01,122.57
1992-07-01,124.63
1992-10-01,125.15
1993-01-01,125.55
1993-04-01,126.66
1993-07-01,128.12
1993-10-01,129.36
1994-01-01,129.98
1994-04-01,130.17
1994-07-01,130.28
1994-10-01,129.61
1995-01-01,129.57
1995-04-01,131.79
1995-07-01,133.4
1995-10-01,134.24
1996-01-01,135.6
1996-04-01,135.35
1996-07-01,135.67
1996-10-01,136.15
1997-01-01,136.79
1997-04-01,137.8
1997-07-01,139.08
1997-10-01,140.74
1998-01-01,143.01
1998-04-01,144.03
1998-07-01,146.36
1998-10-01,147.95
1999-01-01,149.31
1999-04-01,152.21
1999-07-01,154.73
1999-10-01,156.51
2000-01-01,158.88
2000-04-01,161.53
2000-07-01,163.93
2000-10-01,165.84
2001-01-01,170.53
2001-04-01,172.78
2001-07-01,174.07
2001-10-01,176.0
2002-01-01,176.52
2002-04-01,178.04
2002-07-01,180.79
2002-10-01,182.67
2003-01-01,183.56
2003-04-01,184.73
2003-07-01,185.34
2003-10-01,186.47
2004-01-01,187.37
2004-04-01,189.27
2004-07-01,190.81
2004-10-01,193.02
2005-01-01,194.0
2005-04-01,197.09
2005-07-01,200.27
2005-10-01,202.66
2006-01-01,205.02
2006-04-01,208.25
2006-07-01,211.34
2006-10-01,214.24
2007-01-01,217.03
2007-04-01,220.68
2007-07-01,221.39
2007-10-01,223.05
2008-01-01,224.34
2008-04-01,224.99
2008-07-01,224.23
2008-10-01,224.64
2009-01-01,227.29
2009-04-01,225.76
2009-07-01,223.54
2009-10-01,222.97
2010-01-01,221.57
2010-04-01,221.72
2010-07-01,223.11
2010-10-01,222.13
2011-01-01,218.91
2011-04-01,217.81
2011-07-01,219.66
2011-10-01,219.86
2012-01-01,219.76
2012-04-01,221.25
2012-07-01,223.2
2012-10-01,224.8
2013-01-01,226.49
2013-04-01,230.56
2013-07-01,234.52
2013-10-01,237.19
2014-01-01,241.2
2014-04-01,247.41
2014-07-01,251.86
2014-10-01,254.87
2015-01-01,258.66
2015-04-01,265.12
2015-07-01,270.82
2015-10-01,273.22
2016-01-01,277.1
2016-04-01,284.24
2016-07-01,289.91
2016-10-01,293.07
2017-01-01,296.98
2017-04-01,305.9
2017-07-01,310.42
2017-10-01,313.28
2018-01-01,317.44
2018-04-01,324.38
2018-07-01,328.48
2018-10-01,329.53
2019-01-01,333.46
2019-04-01,339.52
2019-07-01,343.51
2019-10-01,345.91
2020-01-01,349.71
2020-04-01,352.18
2020-07-01,357.67
2020-10-01,365.79
2021-01-01,374.24
2021-04-01,396.25
2021-07-01,421.47
2021-10-01,438.75
