Field,Value
Title,CDCR Population COVID-19 Tracking
URL,cdcr-population-covid-19-tracking
Description,This data set provides access to counts of COVID-19 cases by CDCR institution and case status by day. It also provides testing volume data.
Tags,"COVID-19,cases,corrections,prison,testing"
License,cc-by
Topic,covid-19
Organization,California Department of Corrections and Rehabilitation
Public Access Level,Public
Rights,No restrictions on public use
Program Contact Name,Quality Management
Program Contact Email,QMStaff@cdcr.ca.gov
Author,
Homepage URL,https://www.cdcr.ca.gov/covid19/population-status-tracking/
Frequency,Daily
Temporal Coverage,
Granularity,CDCR Institution/Prison
Geographic Coverage Location,State
Spatial,
Data Standard,
Language,
Source Link,
Additional Information,
Related Resources,
Secondary Sources,
Citation,
